,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
52,brae,48,86,60.4,-1.35,30.2,4.7
53,susangerd,0,48,31.56,48.19,62.6,6.93
54,jamestown,88,100,-15.94,-5.72,73.73,22.21
55,bandarbeyla,32,100,9.49,50.81,79.22,5.5
56,benalla,56,31,-36.55,145.99,77.0,9.17
57,marawi,0,42,18.48,31.82,57.53,4.38
58,north bend,1,81,43.41,-124.22,47.17,8.05
59,cabedelo,0,88,-6.97,-34.84,77.0,5.82
60,havoysund,64,92,71.0,24.66,24.8,19.46
61,hit,0,48,33.64,42.83,52.4,8.9
62,salalah,75,78,17.01,54.1,78.8,2.24
63,georgetown,32,100,-7.93,-14.42,79.22,14.38
64,mingyue,0,55,43.11,128.91,55.28,4.88
65,qaqortoq,48,35,60.72,-46.03,39.2,16.11
66,dudinka,56,51,69.41,86.18,-17.62,8.57
67,caravelas,0,100,-17.73,-39.27,80.84,10.36
68,tefe,24,94,-3.35,-64.71,76.34,0.74
69,karratha,0,43,-20.74,116.85,96.32,4.32
70,taltal,0,98,-25.41,-70.49,53.84,1.86
71,challapata,0,62,-18.9,-66.78,23.06,1.74
72,yerbogachen,64,51,61.28,108.01,15.5,13.33
73,touros,92,92,-5.2,-35.46,79.49,8.9
74,fortuna,20,93,40.6,-124.16,51.71,6.93
75,terrace,75,55,54.52,-128.61,35.6,10.29
76,kudat,75,70,6.89,116.84,86.0,3.36
77,pangody,32,72,65.85,74.49,-6.1,11.92
78,purpe,0,75,64.48,76.69,-6.82,13.15
79,shellbrook,75,48,53.22,-106.39,19.4,20.8
80,estacion coahuila,1,11,32.19,-115.0,85.87,10.29
81,saint george,75,93,32.38,-64.68,66.2,3.36
82,hamilton,75,93,32.3,-64.78,66.2,3.36
83,scarborough,92,86,54.28,-0.41,37.83,8.05
84,adrar,64,31,27.87,-0.29,80.6,11.41
85,ardakan,0,17,32.31,54.02,60.8,9.17
86,punta arenas,75,71,-53.16,-70.91,50.0,19.46
87,valandovo,100,91,41.32,22.56,50.15,4.5
88,ust-nera,8,70,64.57,143.24,10.82,2.59
89,kudahuvadhoo,12,100,2.67,72.89,84.26,1.07
90,bilibino,56,71,68.06,166.44,25.49,3.76
91,porto torres,0,58,40.84,8.4,53.6,17.22
92,te anau,36,71,-45.41,167.72,51.86,10.09
93,kununurra,0,50,-15.77,128.74,96.8,8.05
94,boddam,68,80,57.47,-1.78,30.2,3.36
95,hobart,75,43,-42.88,147.33,69.8,19.46
96,busselton,0,100,-33.64,115.35,65.0,12.59
97,bintulu,75,84,3.17,113.03,86.0,3.36
98,sorland,64,100,67.67,12.69,36.92,16.17
99,vanavara,68,53,60.35,102.28,19.19,11.14
100,richards bay,88,100,-28.77,32.06,70.4,6.4
101,alexandria,0,82,31.2,29.89,55.22,4.7
102,ambilobe,12,90,-13.19,49.05,66.26,2.53
103,dauphin,1,72,51.15,-100.04,12.2,21.92
104,mulege,48,44,26.88,-111.98,67.52,1.3
105,kasane,0,95,-17.8,25.16,63.47,4.99
106,gazli,88,61,40.13,63.45,45.74,9.31
107,jurm,90,93,36.86,70.83,41.0,5.82
108,eregli,24,81,37.51,34.05,37.01,2.75
109,victoria,20,88,-4.62,55.45,78.8,2.24
110,niquero,36,100,20.04,-77.58,76.61,4.5
111,jaumave,5,50,23.41,-99.38,77.0,10.29
112,roebourne,0,43,-20.77,117.15,96.32,4.32
113,college,90,86,64.86,-147.8,27.25,8.05
114,naze,20,57,28.37,129.48,75.2,13.87
115,ust-kuyga,0,76,70.0,135.55,17.66,10.36
116,fairbanks,90,79,64.84,-147.72,27.25,10.29
117,karlshamn,80,80,56.17,14.86,33.8,17.22
118,sao joao do paraiso,88,97,-15.31,-42.01,67.34,6.11
119,lodja,32,95,-3.52,23.6,72.11,0.02
120,qandala,0,78,11.47,49.87,67.52,3.2
121,high level,20,29,58.52,-117.13,24.8,3.36
122,muros,75,87,42.77,-9.06,46.4,8.05
123,kapaa,75,83,22.08,-159.32,77.0,9.17
124,loma bonita,0,75,18.11,-95.88,72.56,7.4
125,coari,76,95,-4.09,-63.14,77.24,2.86
126,saint-junien,0,95,45.89,0.9,36.7,5.82
127,luxor,0,87,25.7,32.65,48.26,2.53
128,tezu,8,43,27.93,96.16,68.87,0.51
129,balikpapan,64,96,-1.24,116.86,85.52,7.29
130,orocue,68,94,4.79,-71.34,72.56,3.71
131,ambon,92,99,-3.7,128.18,81.83,7.07
132,bonavista,12,86,48.65,-53.11,29.27,30.44
133,las cruces,1,10,32.31,-106.78,72.64,9.17
134,tomigusuku,40,60,26.18,127.67,73.4,11.41
135,fort nelson,20,23,58.81,-122.69,28.4,5.82
136,vao,56,98,-22.67,167.48,78.86,21.43
137,ribeira grande,88,99,38.52,-28.7,61.76,28.77
138,zalantun,92,68,48.0,122.72,49.52,9.08
139,puerto ayora,36,96,-0.74,-90.35,78.32,2.71
140,jacareacanga,12,92,-6.22,-57.76,76.61,1.36
141,roma,80,59,-26.57,148.79,79.94,12.93
142,kavaratti,0,100,10.57,72.64,83.54,5.06
143,sao filipe,0,99,14.9,-24.5,70.04,13.15
144,ilek,44,80,51.53,53.38,17.39,10.36
145,eyl,80,100,7.98,49.82,77.06,0.25
146,barraute,90,89,48.43,-77.63,32.0,17.22
147,lethem,12,38,3.38,-59.8,83.99,13.6
148,munchberg,75,100,50.2,11.78,28.4,15.05
149,gazojak,8,83,41.19,61.4,38.54,8.41
150,pavilosta,80,86,56.89,21.19,31.95,11.41
151,pinerovka,92,93,51.56,43.06,35.12,15.05
152,kyrylivka,8,92,47.65,37.3,37.37,10.65
153,magistralnyy,56,43,56.17,107.45,16.85,8.63
154,sal rei,40,82,16.18,-22.92,68.0,17.22
155,fomboni,64,100,-12.28,43.74,81.2,4.09
156,leticia,90,100,-4.21,-69.94,75.2,4.7
157,vega de alatorre,8,85,20.03,-96.65,66.8,3.6
158,nadym,20,40,65.53,72.51,-12.4,4.38
159,chuy,92,91,-33.69,-53.46,69.41,9.35
160,awbari,24,24,26.59,12.77,53.12,2.75
161,pemba,80,100,-12.97,40.52,82.1,6.62
162,yakeshi,0,55,49.28,120.73,57.89,14.83
163,namibe,32,100,-15.19,12.15,78.95,9.64
164,kutno,90,100,52.23,19.36,42.8,12.75
165,greytown,68,99,-29.06,30.59,62.93,2.08
166,talara,68,73,-4.58,-81.27,72.83,5.1
167,stepnogorsk,0,83,52.35,71.88,14.51,12.33
168,tasiilaq,12,92,65.61,-37.64,14.0,2.98
169,deputatskiy,0,73,69.3,139.9,-0.61,3.87
170,loviisa,0,72,60.46,26.23,17.6,3.36
171,port shepstone,92,100,-30.74,30.45,71.57,6.78
172,tahe,64,49,52.34,124.71,50.24,11.65
173,corner brook,90,92,48.95,-57.95,27.66,14.99
174,road town,75,83,18.42,-64.62,73.4,11.41
175,cockburn town,32,100,24.03,-74.52,74.54,18.86
176,saldanha,0,82,-33.01,17.94,59.0,5.82
177,eureka,20,93,40.8,-124.16,51.33,6.93
178,portobelo,20,73,9.55,-79.65,77.0,6.93
179,singaraja,8,82,-8.11,115.08,82.28,2.19
180,baykit,68,70,61.68,96.39,17.12,14.34
181,longyearbyen,75,65,78.22,15.64,6.8,19.46
182,jaragua do sul,75,100,-26.49,-49.07,73.4,2.24
183,uyskoye,88,85,54.37,60.01,16.49,8.3
184,alice springs,0,17,-23.7,133.88,91.4,11.41
185,biltine,0,22,14.53,20.93,69.59,13.67
186,terra rica,48,94,-22.73,-52.62,68.96,3.31
187,cartagena,0,79,37.63,-1.0,40.52,2.3
188,ozinki,44,85,51.2,49.73,21.08,11.92
189,aykhal,56,77,65.95,111.51,16.04,7.34
190,kandiari,0,38,26.92,68.52,80.12,1.97
191,macduff,20,92,57.67,-2.48,28.4,8.05
192,chara,92,74,56.9,118.26,22.07,3.27
193,pundaguitan,8,94,6.37,126.17,84.98,3.38
194,norrtalje,90,92,59.76,18.7,26.67,3.36
195,port-gentil,80,100,-0.72,8.78,79.31,7.74
196,san ignacio,0,61,17.16,-89.07,76.97,4.54
197,hay river,20,51,60.82,-115.79,14.0,5.82
198,port-cartier,40,66,50.03,-66.88,14.0,6.93
199,kungurtug,8,53,50.6,97.53,16.22,5.61
200,ulaanbaatar,75,48,47.92,106.92,39.2,15.66
201,almeirim,68,96,-1.53,-52.58,75.89,3.2
202,khatanga,56,83,71.98,102.47,2.9,8.9
203,seymchan,80,78,62.93,152.39,11.9,4.21
204,viedma,0,86,-40.81,-62.99,55.46,7.52
205,marsh harbour,48,100,26.54,-77.06,72.92,15.9
206,kushima,75,60,31.5,131.29,68.83,3.36
207,henties bay,20,100,-22.12,14.28,61.76,3.98
208,panino,90,100,51.65,40.13,33.8,8.95
209,masumbwe,32,97,-3.65,32.16,59.78,3.2
210,la cruz,0,58,23.92,-106.89,69.59,2.75
211,sabya,40,78,17.15,42.62,82.4,10.29
212,yumaguzino,80,83,52.9,56.39,17.21,6.33
213,kudligi,0,62,14.91,76.38,78.32,5.5
214,mandera,8,83,3.94,41.87,73.73,2.75
215,chapleau,56,70,47.85,-83.4,18.92,7.63
216,port lincoln,0,73,-34.72,135.86,73.55,2.04
217,anadyr,90,86,64.73,177.51,37.4,20.13
218,terrak,80,88,65.09,12.37,32.0,10.29
219,noumea,75,78,-22.28,166.46,80.6,18.34
220,tilichiki,80,94,60.47,166.1,33.32,15.12
221,weligama,20,89,5.97,80.42,84.17,5.21
222,burnie,64,99,-41.05,145.91,62.93,21.94
223,lillooet,75,31,50.69,-121.94,48.2,3.36
224,atar,0,87,20.52,-13.05,57.35,2.75
225,shepsi,0,89,44.04,39.15,51.95,9.42
226,qingdao,0,67,36.09,120.35,62.6,4.47
227,pangnirtung,76,78,66.15,-65.72,30.35,17.13
228,sussex,5,69,45.72,-65.51,35.6,10.29
229,tiznit,0,92,29.7,-9.73,54.56,1.59
230,pau brasil,0,96,-15.46,-39.65,67.88,2.86
231,atambua,0,94,-9.11,124.89,84.35,2.86
232,impfondo,24,93,1.64,18.07,75.17,1.97
233,juneau,20,29,58.3,-134.42,38.39,4.7
234,ilulissat,44,79,69.22,-51.1,21.2,1.12
235,kieta,68,91,-6.22,155.63,83.9,9.64
236,saskylakh,68,84,71.97,114.09,8.84,14.79
237,soure,12,100,-0.72,-48.52,74.99,5.55
238,ayorou,32,17,14.73,0.92,76.52,10.09
239,cayenne,92,94,4.94,-52.33,75.2,1.12
240,madimba,76,100,-10.4,40.33,75.17,4.83
241,nelson bay,0,51,-32.72,152.14,84.2,8.05
242,calabozo,100,48,8.92,-67.43,87.41,7.9
243,outram,12,55,-45.86,170.23,59.69,5.84
244,port moresby,40,52,-9.47,147.16,91.4,20.8
245,torbay,75,86,47.66,-52.73,33.8,33.33
246,teya,68,65,60.37,92.63,19.19,12.15
247,hobyo,24,91,5.35,48.53,78.23,5.21
248,hilo,20,69,19.71,-155.08,80.6,12.75
249,marsa matruh,0,93,31.35,27.25,55.4,6.93
250,ugoofaaru,92,100,5.67,73.0,83.45,4.32
251,rimouski,75,73,48.45,-68.52,26.6,3.36
252,moranbah,92,66,-22.0,148.04,81.47,17.81
253,ofaqim,0,95,31.31,34.62,43.04,1.19
254,maceio,40,94,-9.67,-35.74,75.2,1.12
255,tigil,64,88,57.8,158.67,39.35,12.37
256,ledec,90,84,49.97,15.59,39.2,13.87
257,agadez,20,20,16.97,7.99,64.64,9.86
258,bireun,64,100,5.2,96.7,81.65,4.72
259,puerto madero,40,74,14.72,-92.42,80.6,2.59
260,pasni,0,90,25.26,63.48,76.7,7.78
261,tanout,0,14,14.97,8.88,67.52,8.63
262,padang,0,100,-0.92,100.36,80.21,7.07
263,arlit,12,26,18.74,7.39,63.56,2.19
264,tshikapa,48,92,-6.42,20.79,71.12,2.26
265,cherskiy,24,63,68.75,161.3,14.42,3.2
266,andra,8,63,62.52,65.89,3.89,8.63
267,springbok,0,73,-29.67,17.88,56.09,3.71
268,almaty,90,100,43.24,76.95,37.4,8.95
269,san rafael,0,56,9.87,-83.9,69.8,17.22
270,tual,44,100,-5.67,132.75,79.04,6.11
271,tautira,20,58,-17.73,-149.15,87.8,1.12
272,aswan,0,89,24.09,32.9,54.74,4.83
273,trinidad,92,87,-14.83,-64.9,76.43,2.86
274,port blair,24,100,11.67,92.75,83.54,6.73
275,malyye derbety,0,86,47.95,44.68,27.92,12.93
276,guerande,0,86,48.47,-4.17,37.76,5.82
277,sibu,75,66,2.29,111.83,87.8,3.36
278,la ronge,40,41,55.1,-105.3,21.2,13.87
279,murray bridge,36,88,-35.12,139.28,71.48,3.38
280,llanes,8,83,43.42,-4.75,29.27,1.86
281,vila do maio,0,77,15.13,-23.22,69.8,21.92
282,nongpoh,75,83,25.9,91.88,75.2,6.93
283,homer,1,28,59.64,-151.54,39.92,4.7
284,presidencia roque saenz pena,12,91,-26.79,-60.44,70.4,7.11
285,tyler,1,64,32.35,-95.3,66.18,10.29
286,si bun ruang,75,57,16.97,102.28,80.6,4.7
287,itoman,40,60,26.12,127.67,73.4,11.41
288,vitim,64,51,59.44,112.57,17.66,10.02
289,tondano,40,70,1.3,124.91,86.0,5.82
290,charters towers,76,78,-20.07,146.27,81.02,14.38
291,saint-pierre,0,73,-21.34,55.48,77.2,6.93
292,jiaohe,56,60,43.72,127.34,57.44,4.72
293,yarmouth,40,74,43.84,-66.12,35.6,6.93
294,nuqui,92,100,5.71,-77.27,73.28,7.0
295,batagay-alyta,0,73,67.8,130.41,8.48,4.32
296,baturaja,24,87,-4.12,104.17,83.0,4.5
297,iqaluit,90,77,63.75,-68.52,5.0,19.46
298,kwinana,0,49,-32.25,115.77,71.6,12.75
299,turukhansk,32,78,65.8,87.96,-8.08,11.81
300,atbasar,0,81,51.81,68.36,11.72,7.11
301,saint-francois,75,83,16.25,-61.27,71.6,2.24
302,eirunepe,36,94,-6.66,-69.87,76.61,2.04
303,leningradskiy,0,94,69.38,178.42,9.29,2.75
304,ossora,88,96,59.24,163.07,33.41,17.13
305,asosa,0,91,10.07,34.53,60.41,3.6
306,kapuskasing,40,52,49.42,-82.43,19.4,5.82
307,sayyan,0,77,15.17,44.32,39.62,1.19
308,aripuana,56,95,-9.17,-60.63,73.64,1.07
309,riverton,90,67,43.02,-108.38,26.31,16.11
310,koshurnikovo,36,62,54.3,93.39,12.26,4.83
311,los llanos de aridane,76,67,28.66,-17.92,62.6,5.82
312,sabzevar,8,77,36.21,57.68,47.27,7.9
313,dikson,76,99,73.51,80.55,-0.52,19.6
314,kharan,0,44,28.58,65.42,63.11,2.48
315,yar-sale,0,69,66.83,70.83,-9.52,7.07
316,rio gallegos,90,70,-51.62,-69.22,48.2,3.36
317,broome,20,66,-17.97,122.23,86.0,6.93
318,shobara,40,52,34.92,133.05,69.22,6.93
319,casas adobes,1,10,32.32,-110.99,80.22,5.82
320,constantine,0,86,36.36,6.61,37.4,3.36
321,daru,12,100,-9.07,143.21,83.9,5.1
322,pocatello,90,85,42.87,-112.44,51.8,14.99
323,kalmunai,8,92,7.42,81.82,80.3,4.32
324,inta,80,77,66.04,60.13,16.22,8.57
325,fort smith,40,63,35.39,-94.42,67.21,7.23
326,jalu,0,56,29.03,21.55,52.4,4.54
327,ketchikan,90,93,55.34,-131.65,38.32,3.49
328,amga,0,47,60.89,131.98,21.89,9.91
329,mabaruma,24,89,8.2,-59.78,76.97,6.89
330,boende,0,98,-0.28,20.88,72.74,2.04
331,mount gambier,24,64,-37.83,140.78,70.94,4.83
332,kosino,88,90,58.41,51.28,20.45,6.78
333,iberia,36,94,-11.41,-69.49,72.38,2.08
334,yumen,32,46,40.29,97.04,58.34,6.06
335,ilukste,92,95,55.98,26.3,33.86,14.34
336,huanan,0,63,46.24,130.56,53.66,7.0
337,benguela,8,100,-12.58,13.4,76.34,2.3
338,ariquemes,48,93,-9.91,-63.03,74.36,1.86
339,ryotsu,75,36,38.08,138.43,62.6,6.93
340,bubaque,36,100,11.28,-15.83,78.77,15.84
341,marquette,1,66,46.54,-87.4,18.79,4.7
342,salinopolis,88,100,-0.61,-47.36,79.13,8.01
343,aksu,12,56,41.12,80.26,54.65,5.06
344,clyde river,90,84,70.47,-68.59,3.2,23.04
345,tuatapere,56,93,-46.13,167.69,56.9,16.17
346,ust-tsilma,56,81,65.44,52.15,23.96,6.62
347,great yarmouth,68,93,52.61,1.73,41.0,4.7
348,zhigansk,80,59,66.77,123.37,17.03,15.39
349,pinyug,0,84,60.25,47.79,14.24,3.27
350,inirida,24,95,3.87,-67.92,74.9,1.81
351,xuddur,0,90,4.12,43.89,66.44,2.98
352,caska,90,87,41.65,21.66,51.8,3.36
353,lavrentiya,0,90,65.58,-170.99,33.5,7.07
354,bathsheba,40,83,13.22,-59.52,77.0,13.87
355,sabha,0,23,27.03,14.43,56.63,4.09
356,ebolowa,80,98,2.92,11.15,71.12,2.37
357,jumla,0,68,29.28,82.18,33.32,2.08
358,truro,5,50,45.37,-63.3,33.8,10.29
359,tiksi,0,77,71.64,128.87,4.61,4.38
360,batagay,0,59,67.65,134.64,18.47,12.93
361,necochea,0,99,-38.55,-58.74,54.74,8.41
362,kalabo,92,98,-15.0,22.67,64.46,4.09
363,nushki,0,51,29.55,66.02,60.86,4.38
364,les cayes,8,100,18.19,-73.75,73.46,3.31
365,tete,92,97,-16.16,33.59,69.77,5.88
366,camabatela,8,91,-8.19,15.37,60.86,2.75
367,banjarmasin,44,73,-3.32,114.59,87.5,9.24
368,karacabey,20,70,40.21,28.36,54.02,14.05
369,boras,90,79,57.72,12.94,28.4,9.17
370,camopi,76,99,3.17,-52.33,70.76,2.3
371,maloyaroslavets,88,94,55.01,36.47,30.71,6.85
372,srednekolymsk,8,60,67.46,153.71,13.16,3.38
373,birsk,88,88,55.42,55.54,24.32,13.15
374,hargeysa,0,84,9.56,44.06,56.0,3.04
375,dharmanagar,0,78,24.37,92.17,79.4,4.09
376,lerwick,36,86,60.15,-1.15,30.2,4.7
377,walvis bay,0,87,-22.95,14.51,57.2,1.12
378,balingasay,24,86,16.36,119.86,83.09,6.51
379,ajaccio,75,62,41.93,8.74,52.72,19.46
380,najran,0,48,17.54,44.22,53.66,3.6
381,iquique,0,72,-20.22,-70.14,66.2,5.82
382,nouadhibou,20,88,20.93,-17.03,62.6,14.99
383,mae sai,40,94,20.43,99.88,73.4,2.24
384,kizukuri,75,78,40.81,140.39,43.86,3.36
385,havelock,1,81,34.88,-76.9,45.72,5.73
386,kaele,12,60,10.11,14.45,73.1,4.27
387,qaanaaq,76,86,77.48,-69.36,4.52,4.21
388,parauna,56,93,-16.95,-50.45,70.76,1.03
389,luderitz,8,87,-26.65,15.16,59.0,1.12
390,beringovskiy,12,89,63.05,179.32,33.77,12.55
391,fukue,40,72,35.03,136.69,59.0,5.82
392,athabasca,0,64,54.72,-113.29,9.92,6.85
393,manali,0,77,32.25,77.19,3.26,2.48
394,barentu,0,82,15.11,37.59,58.7,2.59
395,sibi,0,57,29.55,67.88,76.07,3.2
396,ormara,24,75,25.21,64.64,77.06,9.13
397,isangel,64,100,-19.55,169.27,80.84,16.35
398,emmett,90,50,43.87,-116.5,55.45,10.29
399,prince george,1,73,53.92,-122.75,21.2,8.05
400,sola,48,95,-13.88,167.55,83.63,6.89
401,bardsir,0,22,29.93,56.57,55.4,4.7
402,sawtell,8,61,-30.38,153.1,80.6,10.29
403,tabas,48,44,33.6,56.92,56.99,2.3
404,yanam,48,87,16.73,82.22,81.74,1.3
405,xingyi,8,63,24.19,102.82,68.24,3.38
406,chumikan,56,64,54.72,135.31,22.16,4.76
407,tromso,75,73,69.65,18.96,24.8,1.12
408,christchurch,8,48,-43.53,172.64,64.4,14.99
409,hervey bay,76,93,-25.3,152.85,77.87,13.94
410,ponta do sol,0,100,17.2,-25.09,69.59,13.78
411,cruzeiro do sul,32,94,-7.63,-72.67,75.2,3.36
412,sajanan,40,62,37.06,9.24,53.6,11.41
413,maine-soroa,0,25,13.21,12.02,69.05,10.13
414,le mars,1,58,42.79,-96.17,24.8,11.41
415,auki,68,100,-8.77,160.7,80.84,3.6
416,chokurdakh,0,74,70.62,147.9,0.74,9.86
417,sarmanovo,75,85,55.25,52.59,23.0,11.18
418,katobu,80,78,-4.94,122.53,87.77,8.79
419,port hedland,0,59,-20.31,118.58,93.2,12.75
420,terra santa,36,95,-2.1,-56.49,75.26,4.38
421,amazar,80,59,53.86,120.88,47.27,7.63
422,saint marys,90,84,41.43,-78.56,48.79,10.29
423,kenai,1,47,60.55,-151.26,35.6,10.29
424,atuona,56,100,-9.8,-139.03,80.03,12.37
425,riberalta,64,97,-11.0,-66.08,74.27,2.08
426,kondinskoye,0,61,59.65,67.41,4.97,2.59
427,torrington,90,92,42.06,-104.18,21.2,8.05
428,alta floresta,20,93,-9.87,-56.08,75.8,1.81
429,santa cruz,0,45,10.26,-85.58,82.4,14.99
430,tazovskiy,48,75,67.47,78.7,-7.0,18.19
431,puksoozero,0,59,62.59,40.61,5.24,3.27
432,moses lake,1,29,47.13,-119.28,44.47,4.7
433,shamary,76,90,57.34,58.22,20.27,8.23
434,lubyany,75,85,56.04,51.4,23.0,11.18
435,matamoros,40,17,25.53,-103.23,86.0,5.82
436,lodwar,20,83,3.12,35.6,71.21,2.53
437,nosy varika,68,100,-20.58,48.53,73.91,4.32
438,sao miguel do araguaia,32,92,-13.28,-50.16,72.47,2.86
439,nsanje,76,98,-16.92,35.26,71.57,3.83
440,nueva gerona,80,93,21.88,-82.8,75.26,8.79
441,geraldton,0,34,-28.77,114.6,80.6,13.87
442,merauke,12,84,-8.49,140.4,86.6,6.78
443,aranos,0,71,-24.14,19.11,69.23,9.86
444,mangaluru,20,74,12.87,74.84,82.4,4.7
445,poum,88,97,-20.23,164.02,81.92,13.78
446,new norfolk,75,43,-42.78,147.06,69.8,19.46
447,altamira,12,96,-3.2,-52.21,72.65,2.3
448,santo augusto,88,97,-27.85,-53.78,64.28,3.09
449,luganville,80,100,-15.51,167.18,79.4,1.52
450,castro,0,99,-42.48,-73.76,47.09,5.88
451,krabi,20,94,8.06,98.92,83.39,4.83
452,araouane,8,24,18.9,-3.53,76.97,4.88
453,buckeye,40,10,33.37,-112.58,84.52,4.7
454,moron,80,92,10.49,-68.2,65.54,2.59
455,sesvete,90,93,45.83,16.11,43.63,3.36
456,kanye,44,92,-24.98,25.34,58.97,3.04
457,vanderhoof,68,45,54.02,-124.02,23.42,2.59
458,yacuiba,12,94,-22.04,-63.68,70.49,0.74
459,madang,44,97,-5.21,145.81,78.95,5.32
460,ratnagiri,0,100,16.98,73.3,78.14,9.24
461,guerrero negro,64,80,27.97,-114.04,62.03,6.78
462,saint-denis,75,78,-20.87,55.47,76.78,11.41
463,hanstholm,20,94,57.12,8.61,37.01,11.81
464,montes altos,0,95,-5.83,-47.07,72.92,7.9
465,yara,24,70,20.27,-76.95,73.55,12.59
466,california,75,100,7.35,-72.95,64.4,4.7
467,amuntai,20,66,-2.42,115.25,88.13,3.09
468,martinsville,1,56,36.69,-79.87,49.19,3.36
469,northam,0,46,-31.65,116.67,71.6,14.99
470,coquimbo,90,87,-29.95,-71.34,59.0,4.7
471,neuquen,0,34,-38.95,-68.06,68.0,5.82
472,flin flon,56,59,54.77,-101.88,16.58,12.37
473,khajuraho,0,33,24.85,79.93,76.52,4.21
474,wiang sa,20,88,8.64,99.37,84.29,3.36
475,edson,1,72,53.59,-116.44,14.0,2.24
476,santa maria del oro,32,48,25.95,-105.37,56.99,2.37
477,vaini,90,88,-21.2,-175.2,77.0,14.67
478,carpinteria,90,87,34.4,-119.52,55.0,4.7
479,valleyview,0,63,55.07,-117.28,2.36,2.86
480,shimanovsk,24,50,52.0,127.67,51.95,9.75
481,xacmaz,12,97,41.46,48.81,31.16,3.31
482,chakia,20,55,26.42,85.05,79.4,11.65
483,yenagoa,88,91,4.92,6.26,78.14,7.34
484,abha,5,51,18.22,42.5,62.6,4.7
485,ylivieska,24,70,64.07,24.53,15.14,5.73
486,machico,20,82,32.7,-16.77,60.8,19.46
487,honiara,75,79,-9.43,159.96,84.2,6.93
488,cherkasskoye,92,94,52.43,47.21,29.72,14.27
489,bucerias,40,78,20.76,-105.33,77.0,8.05
490,brovst,44,96,57.1,9.52,30.44,8.52
491,talnakh,68,91,69.49,88.39,-15.82,5.99
492,sao gabriel,44,90,-30.34,-54.32,65.27,3.27
493,gejiu,64,84,23.36,103.16,63.56,2.98
494,pinsk,92,98,52.11,26.1,48.17,13.11
495,znamenskoye,76,93,57.13,73.82,24.95,7.56
496,meridian,1,71,32.36,-88.7,59.13,4.54
497,lamballe,75,93,48.47,-2.52,41.0,8.05
498,grand gaube,40,78,-20.01,57.66,80.6,11.41
499,sorong,36,100,-0.86,131.25,79.67,8.41
